identifier,label,coupling,mean_first_order,mean_second_order,std_real_second_order,selected_scalar,increment_cv,radial_permutation_entropy,weak_record_in_released_residual_pair
audit-kuramoto-0-060,0,3.62222634041096,0.9990259333257723,0.9961086623938711,0.7042290810616356,-0.2936986979693456,0.43576178748295563,0.5845220084161916,False
audit-kuramoto-0-061,0,3.326229552555238,0.9975044452404671,0.9900392927994486,0.7032987563927944,-0.24714389423558528,0.44157595364095287,0.565377661570098,False
audit-kuramoto-0-062,0,2.832849597991937,0.9958999640680719,0.9836777985895838,0.7001339136806597,-0.3121741628213363,0.4419820008473171,0.6039209564773536,False
audit-kuramoto-0-063,0,3.1002980598625896,0.9985349042669573,0.9941498535686757,0.7029791829589602,-0.2596890051541619,0.4401862333441054,0.5707132535744315,False
audit-kuramoto-0-064,0,2.881919087796956,0.997495533596106,0.9899985134633079,0.7015227568143879,-0.3006425910897998,0.4263274411082229,0.5758517699923712,False
audit-kuramoto-0-065,0,3.21174113127194,0.998734851584553,0.9949473663629088,0.7053659140761035,-0.27160806247786295,0.4285868610782013,0.5623370988896712,False
audit-kuramoto-0-066,0,2.835421341865236,0.9970675427701818,0.9883204027710695,0.7009782878456917,-0.2738776277188277,0.42698905191230735,0.5615136038789247,False
audit-kuramoto-0-067,0,3.939821278867539,0.998265351199384,0.9930789369013878,0.7034490338368972,-0.276282232986611,0.4472462607392842,0.5895689020406483,False
audit-kuramoto-0-068,0,3.943254963834657,0.9992318300077536,0.9969291437380468,0.706476300443746,-0.3569006660912568,0.4296339625194589,0.6139013595262232,False
audit-kuramoto-0-069,0,3.1585225278615288,0.9974106739073056,0.9896827171674367,0.6995976418376423,-0.2915193687302433,0.4267012413556486,0.5711223550286857,False
audit-kuramoto-0-070,0,3.4635344604929257,0.9992054509046748,0.9968234292663675,0.7018847104440714,-0.2864619644254232,0.4330029826835842,0.57663332624614,False
audit-kuramoto-0-071,0,3.3471294326561,0.9967612148038486,0.987073462413329,0.6977178032328838,-0.27561459951236905,0.43185907668174633,0.568905263461168,False
audit-kuramoto-0-072,0,3.07622913467586,0.9960767449594099,0.9843555300179341,0.7005753424257795,-0.34146661820736596,0.4178086063608199,0.5878607305544821,False
audit-kuramoto-0-073,0,3.4803950089183338,0.9982441963676133,0.9929879118508882,0.6970636318268505,-0.37014644794719287,0.41852503955816595,0.6060019285598628,False
audit-kuramoto-0-074,0,3.299444354673157,0.9967180427810279,0.9869277508072208,0.6978670602568804,-0.34508258899066657,0.42687686878817016,0.6027956183061968,False
audit-kuramoto-0-075,0,3.4023356912596143,0.9986721604642009,0.9946971871236704,0.7029212878872072,-0.3588760657752511,0.41761451047873455,0.5979067765713387,False
audit-kuramoto-0-076,0,3.642347692793575,0.9990298793804082,0.9961232113789876,0.7075070475874522,-0.26814551683242566,0.43509674398975773,0.5689052634611679,False
audit-kuramoto-0-077,0,2.9636808283408906,0.9990273606665668,0.9961141202482529,0.710625887461503,-0.33074158380771546,0.4289780488140305,0.5971374574157462,False
audit-kuramoto-0-078,0,2.873129926418049,0.9987433781006687,0.9949821773575582,0.7092163109428749,-0.30756917096681674,0.4483698869356975,0.6098345578853969,False
audit-kuramoto-0-079,0,3.7054087832340947,0.9994136122823072,0.9976559373058844,0.7076040157945145,-0.3184241428432957,0.44395573395422205,0.6104210729881024,False
audit-kuramoto-0-080,0,3.945210696944277,0.9989479812265876,0.9957947494697541,0.7037956589671452,-0.3249443314913331,0.430093175341876,0.5952289992512814,False
audit-kuramoto-0-081,0,3.3788838474926326,0.9990145156704835,0.9960627748226305,0.7049377941342924,-0.30029640810092767,0.45164266143771165,0.6098345578853969,False
audit-kuramoto-0-082,0,3.5029828365272664,0.9917997264785797,0.9674683410680777,0.6896137082811977,-0.3638315586182414,0.41425659742180365,0.5960455806361544,False
audit-kuramoto-0-083,0,2.895968737662203,0.999263583559864,0.9970569034532739,0.7084814679062671,-0.2912398294379223,0.436763794745725,0.5844272825608937,False
audit-kuramoto-0-084,0,3.423699268042331,0.9989801743910968,0.995923489856598,0.7043356314221533,-0.2440388338573997,0.42856173683882093,0.5470135855904429,False
audit-kuramoto-0-085,0,3.0681351349842285,0.9935856364561944,0.9745117521319189,0.6896609711743884,-0.3113776704980202,0.4175775075190034,0.5701205586977647,False
audit-kuramoto-0-086,0,3.902600441828132,0.9981539847923098,0.9926283146659443,0.6961502775082541,-0.3640873788484092,0.42329731532491977,0.6092094815429098,False
audit-kuramoto-0-087,0,3.74490125203079,0.9991672742349136,0.9966714378902556,0.7041809566586414,-0.29172601498901396,0.4413748781466219,0.5908845158943453,False
audit-kuramoto-0-088,0,2.988023106040566,0.9929401762681367,0.9719139884151244,0.685596421673874,-0.2979035736032854,0.4182877592871721,0.5634469522175994,False
audit-kuramoto-0-089,0,3.98548767367095,0.9988343527986405,0.9953411812879277,0.6996940502567865,-0.36840748788626326,0.407018773068885,0.5883175178511822,False
audit-kuramoto-0-090,0,3.6276389941095295,0.9955304620785497,0.9821891126788207,0.6935249400454333,-0.2909645835174091,0.4417110828525583,0.5908845158943453,False
audit-kuramoto-0-091,0,3.2605120722388476,0.9976366937002952,0.9905622813290123,0.7016890479791806,-0.30713331784723064,0.43835255389624084,0.5959500308089121,False
audit-kuramoto-0-092,0,3.5138669643385745,0.9959138455402985,0.9837436839623237,0.6973679969186419,-0.3442865846981802,0.4232710573726938,0.5972282429222038,False
